抽選回,date,num1,num2,num3,num4,num5,num6,num7,bonus1,bonus2,set,本数字 奇:偶,本数字計,全数字 奇:偶,全数字計
第1回,2013/04/05,7,10,12,17,23,28,34,3,15,A,3：4,131,5：4,149
第2回,2013/04/12,20,24,29,31,33,34,35,12,32,E,4：3,206,4：5,250
第3回,2013/04/19,2,7,8,11,14,23,31,5,15,G,4：3,96,6：3,116
第4回,2013/04/26,12,13,22,23,24,28,29,2,14,C,3：4,151,3：6,167
第5回,2013/05/03,1,3,4,5,16,21,28,22,31,I,4：3,78,5：4,131
第6回,2013/05/10,5,15,19,23,30,34,35,6,25,J,5：2,161,6：3,192
第7回,2013/05/17,1,3,5,7,27,29,33,6,15,H,7：0,105,8：1,126
第8回,2013/05/24,2,21,28,29,30,32,36,6,8,B,2：5,178,2：7,192
第9回,2013/05/31,3,4,15,23,27,30,36,13,35,D,4：3,138,6：3,186
第10回,2013/06/07,1,2,3,6,24,28,30,16,20,D,2：5,94,2：7,130
第11回,2013/06/14,9,15,26,29,32,34,36,14,35,F,3：4,181,4：5,230
第12回,2013/06/21,11,12,14,19,26,27,33,24,32,A,4：3,142,4：5,198
第13回,2013/06/28,6,10,16,21,27,28,35,15,34,C,3：4,143,4：5,192
第14回,2013/07/05,4,7,8,9,24,28,30,34,36,E,2：5,110,2：7,180
第15回,2013/07/12,2,10,14,17,23,25,35,8,29,G,4：3,126,5：4,163
第16回,2013/07/19,5,6,9,13,16,21,23,8,34,D,5：2,93,5：4,135
第17回,2013/07/26,2,3,5,22,34,36,37,7,15,J,3：4,139,5：4,161
第18回,2013/08/02,12,17,21,24,29,31,36,20,26,G,4：3,170,4：5,216
第19回,2013/08/09,2,14,19,20,21,22,31,1,15,B,3：4,129,5：4,145
第20回,2013/08/16,2,5,13,20,21,23,28,11,22,I,4：3,112,5：4,145
第21回,2013/08/23,1,9,13,15,25,30,33,19,28,H,6：1,126,7：2,173
第22回,2013/08/30,2,4,8,9,15,23,25,3,10,C,4：3,86,5：4,99
第23回,2013/09/06,4,8,11,25,28,29,30,14,32,F,3：4,135,3：6,181
第24回,2013/09/13,4,5,8,10,16,19,33,2,29,A,3：4,95,4：5,126
第25回,2013/09/20,1,6,11,16,17,18,21,10,24,E,4：3,90,4：5,124
第26回,2013/09/27,11,13,16,18,26,31,36,21,27,D,3：4,151,5：4,199
第27回,2013/10/04,1,10,11,14,17,18,28,25,26,B,3：4,99,4：5,150
第28回,2013/10/11,6,7,12,15,19,35,37,1,11,J,5：2,131,7：2,143
第29回,2013/10/18,2,3,16,17,24,26,28,15,31,C,2：5,116,4：5,162
第30回,2013/10/25,6,8,13,22,26,32,36,16,34,G,1：6,143,1：8,193
第31回,2013/11/01,9,12,13,19,23,33,34,20,32,I,5：2,143,5：4,195
第32回,2013/11/08,3,8,15,18,27,29,37,31,34,A,5：2,137,6：3,202
第33回,2013/11/15,1,4,17,24,29,33,36,19,30,F,4：3,144,5：4,193
第34回,2013/11/22,4,6,7,23,24,32,35,8,27,H,3：4,131,4：5,166
第35回,2013/11/29,1,16,18,19,25,30,34,26,36,E,3：4,143,3：6,205
第36回,2013/12/06,5,6,10,11,20,28,36,25,37,E,2：5,116,4：5,178
第37回,2013/12/13,7,8,10,13,14,19,37,29,33,J,4：3,108,6：3,170
第38回,2013/12/20,4,14,19,22,24,29,34,8,31,D,2：5,146,3：6,185
第39回,2013/12/27,7,13,19,23,25,26,30,1,18,F,5：2,143,6：3,162
第40回,2014/01/10,2,6,11,23,26,31,34,7,20,C,3：4,133,4：5,160
第41回,2014/01/17,2,3,8,15,34,35,36,25,28,B,3：4,133,4：5,186
第42回,2014/01/24,2,15,16,17,23,31,33,8,26,G,5：2,137,5：4,171
第43回,2014/01/31,4,6,7,8,24,31,37,5,13,C,3：4,117,5：4,135
第44回,2014/02/07,3,4,6,15,27,28,29,1,14,I,4：3,112,5：4,127
第45回,2014/02/14,1,2,9,18,21,27,33,25,31,A,5：2,111,7：2,167
第46回,2014/02/21,2,5,6,15,23,27,30,4,35,J,4：3,108,5：4,147
第47回,2014/02/28,2,9,11,14,20,21,36,6,15,H,3：4,113,4：5,134
第48回,2014/03/07,3,5,24,26,29,30,34,8,35,F,3：4,151,4：5,194
第49回,2014/03/14,8,11,12,17,24,26,27,14,21,E,3：4,125,4：5,160
第50回,2014/03/21,3,4,7,8,15,24,29,11,16,D,4：3,90,5：4,117
第51回,2014/03/28,1,4,5,8,20,23,35,15,33,D,4：3,96,6：3,144
第52回,2014/04/04,8,10,22,24,26,32,34,5,9,B,0：7,156,2：7,170
第53回,2014/04/11,1,4,14,16,20,33,36,12,30,G,2：5,124,2：7,166
第54回,2014/04/18,1,3,5,10,18,22,23,7,35,I,4：3,82,6：3,124
第55回,2014/04/25,4,12,14,17,23,30,36,13,33,C,2：5,136,4：5,182
第56回,2014/05/02,4,23,26,27,28,32,36,29,30,A,2：5,176,3：6,235
第57回,2014/05/09,5,6,12,16,17,20,33,8,32,J,3：4,109,3：6,149
第58回,2014/05/16,1,6,7,8,23,32,33,11,34,E,4：3,110,5：4,155
第59回,2014/05/23,5,8,12,13,21,30,35,27,34,A,4：3,124,5：4,185
第60回,2014/05/30,3,7,9,15,16,23,34,5,33,B,5：2,107,7：2,145
第61回,2014/06/06,5,10,11,21,28,31,37,13,14,F,5：2,143,6：3,170
第62回,2014/06/13,4,10,12,15,27,32,33,9,16,D,3：4,133,4：5,158
第63回,2014/06/20,4,8,19,24,28,30,32,12,37,H,1：6,145,2：7,194
第64回,2014/06/27,4,15,16,17,20,29,36,19,26,G,3：4,137,4：5,182
第65回,2014/07/04,4,7,12,22,23,24,28,25,34,I,2：5,120,3：6,179
第66回,2014/07/11,1,11,25,28,31,33,37,3,20,E,6：1,166,7：2,189
第67回,2014/07/18,7,11,15,17,18,25,35,6,33,A,6：1,128,7：2,167
第68回,2014/07/25,2,7,13,15,24,34,35,12,23,C,4：3,130,5：4,165
第69回,2014/08/01,13,17,20,22,28,29,37,11,12,J,4：3,166,5：4,189
第70回,2014/08/08,9,10,18,21,27,33,35,4,11,F,5：2,153,6：3,168
第71回,2014/08/15,1,6,13,29,34,35,37,2,15,B,5：2,155,6：3,172
第72回,2014/08/22,11,12,18,19,20,31,32,9,21,D,3：4,143,5：4,173
第73回,2014/08/29,12,16,23,25,27,30,32,28,33,H,3：4,165,4：5,226
第74回,2014/09/05,5,13,14,15,16,24,31,9,11,I,4：3,118,6：3,138
第75回,2014/09/12,4,9,15,17,19,35,37,10,20,G,6：1,136,6：3,166
第76回,2014/09/19,4,13,18,29,32,34,36,24,33,E,2：5,166,3：6,223
第77回,2014/09/26,3,10,23,25,26,28,30,15,29,A,3：4,145,5：4,189
第78回,2014/10/03,5,6,10,14,24,28,36,7,20,C,1：6,123,2：7,150
第79回,2014/10/10,2,4,7,9,21,29,37,6,36,J,5：2,109,5：4,151
第80回,2014/10/17,2,5,10,18,21,24,27,25,34,F,3：4,107,4：5,166
第81回,2014/10/24,1,3,10,18,28,31,35,9,21,D,4：3,126,6：3,156
第82回,2014/10/31,1,3,16,20,25,27,34,18,37,H,4：3,126,5：4,181
第83回,2014/11/07,1,11,21,26,28,32,35,18,22,B,4：3,154,4：5,194
第84回,2014/11/14,8,16,23,28,29,35,36,12,37,I,3：4,175,4：5,224
第85回,2014/11/21,6,7,10,11,22,26,35,14,23,E,3：4,117,4：5,154
第86回,2014/11/28,3,10,20,21,22,26,30,24,35,G,2：5,132,3：6,191
第87回,2014/12/05,8,9,12,18,20,28,31,13,15,A,2：5,126,4：5,154
第88回,2014/12/12,3,4,10,14,25,29,30,18,19,C,3：4,115,4：5,152
第89回,2014/12/19,1,3,11,26,28,34,36,17,20,F,3：4,139,4：5,176
第90回,2014/12/26,2,8,9,13,14,18,37,11,25,J,3：4,101,5：4,137
第91回,2015/01/09,1,5,7,14,15,25,35,18,24,I,6：1,102,6：3,144
第92回,2015/01/16,4,5,15,25,26,29,32,11,27,D,4：3,136,6：3,174
第93回,2015/01/23,2,5,11,14,17,30,32,31,37,H,3：4,111,5：4,179
第94回,2015/01/30,13,19,20,27,28,29,30,26,36,B,4：3,166,4：5,228
第95回,2015/02/06,1,8,13,14,18,30,34,26,36,F,2：5,118,2：7,180
第96回,2015/02/13,9,11,14,21,22,23,24,10,36,E,4：3,124,4：5,170
第97回,2015/02/20,7,13,14,16,22,24,35,1,29,G,3：4,131,5：4,161
第98回,2015/02/27,3,9,11,13,19,25,33,10,30,A,7：0,113,7：2,153
第99回,2015/03/06,13,17,22,24,27,28,35,11,19,C,4：3,166,6：3,196
第100回,2015/03/13,1,2,11,16,25,35,36,9,14,J,4：3,126,5：4,149
第101回,2015/03/20,11,12,21,23,28,36,37,3,16,H,4：3,168,5：4,187
第102回,2015/03/27,1,4,8,27,28,29,31,13,25,E,4：3,128,6：3,166
第103回,2015/04/03,2,3,11,12,22,35,36,30,34,C,3：4,121,3：6,185
第104回,2015/04/10,7,9,11,15,16,22,37,12,13,A,5：2,117,6：3,142
第105回,2015/04/17,3,15,19,20,26,28,33,17,21,F,4：3,144,6：3,182
第106回,2015/04/24,6,10,12,19,21,22,30,1,11,I,2：5,120,4：5,132
第107回,2015/05/01,3,8,9,13,17,27,33,29,31,G,6：1,110,8：1,170
第108回,2015/05/08,2,6,7,8,28,30,36,18,21,D,1：6,117,2：7,156
第109回,2015/05/15,6,17,20,21,24,30,32,7,23,B,2：5,150,4：5,180
第110回,2015/05/22,4,12,22,30,31,35,36,19,37,H,2：5,170,4：5,226
第111回,2015/05/29,7,8,9,24,28,30,33,1,34,J,3：4,139,4：5,174
第112回,2015/06/05,6,7,10,15,27,35,36,13,20,E,4：3,136,5：4,169
第113回,2015/06/12,4,6,7,9,15,17,37,14,20,C,5：2,95,5：4,129
第114回,2015/06/19,8,13,26,27,28,29,37,4,12,F,4：3,168,4：5,184
第115回,2015/06/26,6,8,13,14,20,25,27,24,26,G,3：4,113,3：6,163
第116回,2015/07/03,9,14,23,27,28,31,32,3,20,I,4：3,164,5：4,187
第117回,2015/07/10,9,10,20,28,31,34,37,23,26,A,3：4,169,4：5,218
第118回,2015/07/17,5,8,9,24,27,28,30,16,20,D,3：4,131,3：6,167
第119回,2015/07/24,3,6,8,14,15,25,36,24,35,B,3：4,107,4：5,166
第120回,2015/07/31,2,16,18,26,32,35,37,9,36,C,2：5,166,3：6,211
第121回,2015/08/07,2,4,13,16,21,30,37,19,29,J,3：4,123,5：4,171
第122回,2015/08/14,2,16,18,26,27,34,35,5,12,H,2：5,158,3：6,175
第123回,2015/08/21,1,3,5,8,29,34,36,23,28,E,4：3,116,5：4,167
第124回,2015/08/28,1,2,15,17,18,22,36,6,27,F,3：4,111,4：5,144
第125回,2015/09/04,1,6,11,14,19,28,35,18,21,I,4：3,114,5：4,153
第126回,2015/09/11,4,10,13,16,17,21,27,1,18,D,4：3,108,5：4,127
第127回,2015/09/18,10,12,15,23,28,30,35,6,25,A,3：4,153,4：5,184
第128回,2015/09/25,2,4,8,23,26,27,32,3,35,C,2：5,122,4：5,160
第129回,2015/10/02,5,7,11,19,24,27,30,29,35,G,5：2,123,7：2,187
第130回,2015/10/09,1,15,20,23,25,31,32,5,24,B,5：2,147,6：3,176
第131回,2015/10/16,3,4,12,17,32,34,36,23,31,J,2：5,138,4：5,192
第132回,2015/10/23,7,10,14,16,20,30,31,35,37,E,2：5,128,4：5,200
第133回,2015/10/30,3,7,13,15,17,21,30,14,27,D,6：1,106,7：2,147
第134回,2015/11/06,4,9,20,28,30,34,35,12,29,H,2：5,160,3：6,201
第135回,2015/11/13,8,9,13,14,24,32,34,3,4,F,2：5,134,3：6,141
第136回,2015/11/20,10,17,24,27,30,33,37,18,31,I,4：3,178,5：4,227
第137回,2015/11/27,13,19,21,25,27,32,35,16,20,A,6：1,172,6：3,208
第138回,2015/12/04,2,5,17,20,21,32,33,30,35,E,4：3,130,5：4,195
第139回,2015/12/11,9,16,18,21,23,34,35,4,36,C,4：3,156,4：5,196
第140回,2015/12/18,3,11,12,13,17,26,35,1,33,G,5：2,117,7：2,151
第141回,2015/12/25,2,10,18,30,31,32,36,21,29,B,1：6,159,3：6,209
第142回,2016/01/08,6,12,14,18,21,27,28,1,33,J,2：5,126,4：5,160
第143回,2016/01/15,1,3,8,14,28,29,33,4,31,D,4：3,116,5：4,151
第144回,2016/01/22,2,9,13,18,22,32,36,17,26,H,2：5,132,3：6,175
第145回,2016/01/29,10,12,18,28,29,30,35,4,19,J,2：5,162,3：6,185
第146回,2016/02/05,4,10,25,27,28,33,34,15,35,F,3：4,161,5：4,211
第147回,2016/02/12,1,5,7,12,15,24,25,8,14,E,5：2,89,5：4,111
第148回,2016/02/19,1,9,11,16,20,30,34,12,33,C,3：4,121,4：5,166
第149回,2016/02/26,1,4,15,19,22,23,31,12,32,I,5：2,115,5：4,159
第150回,2016/03/04,6,7,14,20,27,31,34,11,24,A,3：4,139,4：5,174
第151回,2016/03/11,9,10,13,15,21,22,24,4,8,B,4：3,114,4：5,126
第152回,2016/03/18,8,12,17,21,23,24,31,6,7,G,4：3,136,5：4,149
第153回,2016/03/25,7,9,10,16,20,28,37,2,33,D,3：4,127,4：5,162
第154回,2016/04/01,2,4,19,21,24,28,35,3,13,H,3：4,133,5：4,149
第155回,2016/04/08,2,9,13,18,22,24,26,10,37,J,2：5,114,3：6,161
第156回,2016/04/15,4,9,16,19,22,33,34,17,36,E,3：4,137,4：5,190
第157回,2016/04/22,5,9,16,26,28,29,32,1,37,C,3：4,145,5：4,183
第158回,2016/04/29,3,6,7,30,32,36,37,5,20,I,3：4,151,4：5,176
第159回,2016/05/06,10,14,17,21,23,27,31,16,24,G,5：2,143,5：4,183
第160回,2016/05/13,1,2,8,24,32,36,37,23,33,F,2：5,140,4：5,196
第161回,2016/05/20,8,14,17,18,20,22,34,4,30,B,1：6,133,1：8,167
第162回,2016/05/27,2,7,8,12,14,23,27,6,10,A,3：4,93,3：6,109
第163回,2016/06/03,1,2,6,16,28,30,31,3,7,F,2：5,114,4：5,124
第164回,2016/06/10,3,13,20,23,31,35,36,2,11,D,5：2,161,6：3,174
第165回,2016/06/17,9,11,14,15,16,18,27,6,20,H,4：3,110,4：5,136
第166回,2016/06/24,14,20,27,29,30,31,37,23,34,J,4：3,188,5：4,245
第167回,2016/07/01,1,3,5,7,10,26,36,19,37,E,4：3,88,6：3,144
第168回,2016/07/08,3,9,12,14,19,20,36,2,5,I,3：4,113,4：5,120
第169回,2016/07/15,1,5,10,20,21,28,30,25,26,C,3：4,115,4：5,166
第170回,2016/07/22,3,5,6,9,27,32,36,12,24,A,4：3,118,4：5,154
第171回,2016/07/29,1,2,6,21,23,27,28,11,16,B,4：3,108,5：4,135
第172回,2016/08/05,5,20,21,27,30,31,36,9,26,D,4：3,170,5：4,205
第173回,2016/08/12,7,9,19,22,24,27,30,4,28,G,4：3,138,4：5,170
第174回,2016/08/19,10,13,14,15,23,31,32,4,29,F,4：3,138,5：4,171
第175回,2016/08/26,6,17,21,31,33,35,37,14,18,H,6：1,180,6：3,212
第176回,2016/09/02,1,11,12,17,22,30,35,15,16,J,4：3,128,5：4,159
第177回,2016/09/09,9,15,19,23,25,34,36,2,35,I,5：2,161,6：3,198
第178回,2016/09/16,6,9,11,15,26,34,36,13,37,E,3：4,137,5：4,187
第179回,2016/09/23,4,9,12,13,22,26,36,5,33,C,2：5,122,4：5,160
第180回,2016/09/30,1,8,11,21,23,25,28,5,37,D,5：2,117,7：2,159
第181回,2016/10/07,7,8,10,13,19,23,24,15,27,J,4：3,104,6：3,146
第182回,2016/10/14,1,7,10,11,20,23,30,3,37,A,4：3,102,6：3,142
第183回,2016/10/21,6,15,20,26,33,34,37,19,29,B,3：4,171,5：4,219
第184回,2016/10/28,7,14,18,22,23,26,34,2,32,F,2：5,144,2：7,178
第185回,2016/11/04,1,2,4,16,26,29,34,11,12,C,2：5,112,3：6,135
第186回,2016/11/11,5,14,16,19,31,33,37,21,28,G,5：2,155,6：3,204
第187回,2016/11/18,4,6,10,23,24,32,36,15,31,H,1：6,135,3：6,181
第188回,2016/11/25,6,15,19,25,26,30,31,14,18,E,4：3,152,4：5,184
第189回,2016/12/02,3,7,8,10,18,23,35,1,19,D,4：3,104,6：3,124
第190回,2016/12/09,2,11,12,18,21,33,36,8,34,I,3：4,133,3：6,175
第191回,2016/12/16,8,15,21,24,26,27,29,7,30,J,4：3,150,5：4,187
第192回,2016/12/23,12,13,14,19,25,33,34,3,22,F,4：3,150,5：4,175
第193回,2016/12/30,4,6,20,21,22,24,31,9,10,A,2：5,128,3：6,147
第194回,2017/01/06,3,6,27,30,31,32,36,14,23,B,3：4,165,4：5,202
第195回,2017/01/13,4,7,12,20,23,24,31,26,35,H,3：4,121,4：5,182
第196回,2017/01/20,7,13,15,25,30,32,37,8,14,G,5：2,159,5：4,181
第197回,2017/01/27,6,8,10,12,16,21,28,14,23,A,1：6,101,2：7,138
第198回,2017/02/03,18,21,31,32,33,36,37,5,25,C,4：3,208,6：3,238
第199回,2017/02/10,1,9,17,20,22,28,29,13,16,E,4：3,126,5：4,155
第200回,2017/02/17,13,14,17,21,27,28,34,1,11,B,4：3,154,6：3,166
第201回,2017/02/24,8,11,17,24,28,31,32,12,34,D,3：4,151,3：6,197
第202回,2017/03/03,3,7,11,16,22,34,37,29,32,F,4：3,130,5：4,191
第203回,2017/03/10,6,13,17,22,32,33,36,12,28,A,3：4,159,3：6,199
第204回,2017/03/17,5,19,20,21,30,34,36,7,12,I,3：4,165,4：5,184
第205回,2017/03/24,4,5,19,31,35,36,37,27,32,G,5：2,167,6：3,226
第206回,2017/03/31,1,6,7,11,27,35,36,22,26,J,5：2,123,5：4,171
第207回,2017/04/07,4,5,10,13,28,32,33,19,26,C,3：4,125,4：5,170
第208回,2017/04/14,4,13,16,18,22,26,33,27,29,H,2：5,132,4：5,188
第209回,2017/04/21,3,4,6,13,22,31,36,28,34,C,3：4,115,3：6,177
第210回,2017/04/28,2,4,6,11,15,19,36,23,34,F,3：4,93,4：5,150
第211回,2017/05/05,7,15,22,25,31,32,35,29,36,E,5：2,167,6：3,232
第212回,2017/05/12,4,6,10,19,20,24,29,1,27,B,2：5,112,4：5,140
第213回,2017/05/19,5,13,15,18,19,24,35,20,23,I,5：2,129,6：3,172
第214回,2017/05/26,2,6,9,12,31,36,37,3,22,A,3：4,133,4：5,158
第215回,2017/06/02,11,12,13,21,29,36,37,7,9,D,5：2,159,7：2,175
第216回,2017/06/09,9,14,22,24,25,36,37,8,28,G,3：4,167,3：6,203
第217回,2017/06/16,4,6,26,27,28,35,36,24,34,C,2：5,162,2：7,220
第218回,2017/06/23,15,16,17,21,26,29,30,10,34,J,4：3,154,4：5,198
第219回,2017/06/30,6,9,13,14,21,25,31,2,4,I,5：2,119,5：4,125
第220回,2017/07/07,7,9,11,18,25,28,35,20,27,H,5：2,133,6：3,180
第221回,2017/07/14,1,2,9,11,17,30,35,13,36,D,5：2,105,6：3,154
